Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.100.163-192.168.100.240-34334-80-6,192.168.100.163,34334,192.168.100.240,80,6,31/03/2024 04:40:44 PM,5010905,4,4,537.0,429.0,537.0,0.0,134.25,268.5,429.0,0.0,107.25,214.5,192.7795478062346,1.596517994254531,715843.5714285715,1891412.231783512,5005161.0,16.0,5744.0,1914.6666666666667,3072.127818521445,5462.0,124.0,5010763.0,1670254.3333333333,2888129.7651553564,5005178.0,215.0,0,0,0,0,136,136,0.7982589971272654,0.7982589971272654,0.0,537.0,107.33333333333333,214.68756368266887,46090.75,1,2,0,2,7,0,0,0,1.0,120.75,134.25,107.25,0,0,0,0,0,0,0,67,0,53,32120,505,1,32,0,0,0,0,1.426601037691905E15,6.988889193220221E14,1.711921244233601E15,5005144.0,No Label
192.168.100.163-192.168.100.240-34364-80-6,192.168.100.163,34364,192.168.100.240,80,6,31/03/2024 04:40:44 PM,5007245,4,4,360.0,424.0,360.0,0.0,90.0,180.0,424.0,0.0,106.0,212.0,156.57312554109095,1.5976849545009282,715320.7142857143,1890179.08093781,5001843.0,13.0,5402.0,1800.6666666666667,1595.3483423169166,3275.0,107.0,5007151.0,1669050.3333333333,2886294.4653992485,5001856.0,1918.0,0,0,0,0,136,136,0.7988424772504641,0.7988424772504641,0.0,424.0,87.11111111111111,173.59467477751474,30135.11111111111,1,2,0,2,7,0,0,0,1.0,98.0,90.0,106.0,0,0,0,0,0,0,0,45,0,53,32120,507,1,32,0,0,0,0,1.4266010376953738E15,6.98888919325345E14,1.71192124423691E15,5001830.0,No Label
192.168.100.163-192.168.100.240-34338-80-6,192.168.100.163,34338,192.168.100.240,80,6,31/03/2024 04:40:44 PM,5011438,4,4,375.0,424.0,375.0,0.0,93.75,187.5,424.0,0.0,106.0,212.0,159.43527586293595,1.596348193871699,715919.7142857143,1891374.2629321776,5005151.0,12.0,6287.0,2095.666666666667,3043.1710982679456,5601.0,130.0,5011320.0,1670440.0,2887960.161617885,5005168.0,674.0,0,0,0,0,136,136,0.7981740969358495,0.7981740969358495,0.0,424.0,88.77777777777777,176.58834741976733,31183.44444444445,1,2,0,2,7,0,0,0,1.0,99.875,93.75,106.0,0,0,0,0,0,0,0,46,0,53,32120,507,1,32,0,0,0,0,1.426601037692589E15,6.988889193223621E14,1.711921244234665E15,5005134.0,No Label
192.168.100.163-192.168.100.240-34370-80-6,192.168.100.163,34370,192.168.100.240,80,6,31/03/2024 04:40:44 PM,5004480,4,4,443.0,429.0,443.0,0.0,110.75,221.5,429.0,0.0,107.25,214.5,174.24387748577274,1.5985676833557132,714925.7142857143,1889942.2626852663,5000911.0,10.0,3569.0,1189.6666666666667,1920.7710257428744,3407.0,37.0,5004370.0,1668123.3333333333,2886287.8948809546,5000921.0,113.0,0,0,0,0,136,136,0.7992838416778566,0.7992838416778566,0.0,443.0,96.88888888888889,192.28978420891502,36975.36111111111,1,2,0,2,7,0,0,0,1.0,109.0,110.75,107.25,0,0,0,0,0,0,0,55,0,53,32120,506,1,32,0,0,0,0,1.4266010376970458E15,6.988889193266192E14,1.711921244238957E15,5000901.0,No Label
192.168.100.163-192.168.100.240-34348-80-6,192.168.100.163,34348,192.168.100.240,80,6,31/03/2024 04:40:44 PM,5014752,4,4,472.0,424.0,472.0,0.0,118.0,236.00000000000003,424.0,0.0,106.0,212.0,178.6728436421183,1.5952932468046277,716393.142857143,1891174.5097170374,5005168.0,6.0,9584.0,3194.6666666666665,4724.363907801063,8633.0,104.0,5014662.0,1671554.0,2887002.081173479,5005174.0,964.0,0,0,0,0,136,136,0.7976466234023138,0.7976466234023138,0.0,472.0,99.55555555555556,197.913561379148,39169.77777777778,1,2,0,2,7,0,0,0,1.0,112.0,118.0,106.0,0,0,0,0,0,0,0,59,0,53,32120,506,1,32,0,0,0,0,1.4266010376940915E15,6.988889193230845E14,1.711921244239014E15,5005162.0,No Label
192.168.100.163-192.168.100.240-34314-80-6,192.168.100.163,34314,192.168.100.240,80,6,31/03/2024 04:40:44 PM,5022444,4,4,395.0,424.0,395.0,0.0,98.75,197.49999999999997,424.0,0.0,106.0,212.0,163.06802027060928,1.5928500148533264,717492.0000000001,1890145.1143202384,5003923.0,17.0,18521.0,6173.666666666666,7166.261321870235,14191.0,391.0,5022075.0,1674025.0,2883795.0549546685,5003940.0,4221.0,0,0,0,0,136,136,0.7964250074266632,0.7964250074266632,0.0,424.0,91.0,180.71801238393476,32659.0,1,2,0,2,7,0,0,0,1.0,102.375,98.75,106.0,0,0,0,0,0,0,0,49,0,53,32120,506,1,32,0,0,0,0,1.426601037690163E15,6.988889193217752E14,1.711921244240092E15,5003906.0,No Label
192.168.100.163-192.168.100.240-34324-80-6,192.168.100.163,34324,192.168.100.240,80,6,31/03/2024 04:40:44 PM,5017503,4,4,460.0,429.0,460.0,0.0,115.0,230.00000000000003,429.0,0.0,107.25,214.5,177.17976451633413,1.5944185783247167,716786.1428571427,1889486.0600120362,5001719.0,10.0,15784.0,5261.333333333333,8673.992986700723,15277.0,199.0,5017324.0,1672441.3333333333,2883257.022151569,5001729.0,464.0,0,0,0,0,136,136,0.7972092891623583,0.7972092891623583,0.0,460.0,98.77777777777777,196.15923237116434,38478.444444444445,1,2,0,2,7,0,0,0,1.0,111.125,115.0,107.25,0,0,0,0,0,0,0,57,0,53,32120,506,1,32,0,0,0,0,1.4266010376921535E15,6.988889193238268E14,1.711921244242454E15,5001709.0,No Label
192.168.100.163-192.168.100.240-34378-80-6,192.168.100.163,34378,192.168.100.240,80,6,31/03/2024 04:40:44 PM,5009733,4,4,360.0,424.0,360.0,0.0,90.0,180.0,424.0,0.0,106.0,212.0,156.49536612031022,1.5968914910235736,715676.142857143,1891463.689206715,5005111.0,7.0,4622.0,1540.6666666666667,2550.1580996740836,4485.0,30.0,5009639.0,1669879.6666666667,2888401.9353549695,5005118.0,96.0,0,0,0,0,136,136,0.7984457455117868,0.7984457455117868,0.0,424.0,87.11111111111111,173.59467477751474,30135.11111111111,1,2,0,2,7,0,0,0,1.0,98.0,90.0,106.0,0,0,0,0,0,0,0,45,0,53,32120,507,1,32,0,0,0,0,1.42660103769821E15,6.988889193251305E14,1.711921244240382E15,5005104.0,No Label
192.168.100.163-192.168.100.240-34394-80-6,192.168.100.163,34394,192.168.100.240,80,6,31/03/2024 04:40:44 PM,5009358,4,4,374.0,429.0,374.0,0.0,93.5,187.0,429.0,0.0,107.25,214.5,160.29998255265446,1.5970110341484878,715622.5714285715,1891180.064481862,5004414.0,5.0,4944.0,1648.0,2724.7537503414874,4794.0,39.0,5009261.0,1669753.6666666667,2887905.8148565604,5004419.0,112.0,0,0,0,0,136,136,0.7985055170742439,0.7985055170742439,0.0,429.0,89.22222222222223,177.5779953835622,31533.944444444445,1,2,0,2,7,0,0,0,1.0,100.375,93.5,107.25,0,0,0,0,0,0,0,46,0,53,32120,507,1,32,0,0,0,0,1.426601037698467E15,6.988889193255969E14,1.711921244241076E15,5004409.0,No Label
192.168.100.163-192.168.100.240-34354-80-6,192.168.100.163,34354,192.168.100.240,80,6,31/03/2024 04:40:44 PM,5014753,4,4,421.0,424.0,421.0,0.0,105.25,210.5,424.0,0.0,106.0,212.0,168.50281559231334,1.5952929286846231,716393.2857142857,1890388.438787975,5003382.0,13.0,11371.0,3790.3333333333335,6069.6812381980435,10796.0,110.0,5014656.0,1671552.0,2885465.9926271876,5003396.0,564.0,0,0,0,0,136,136,0.7976464643423116,0.7976464643423116,0.0,424.0,93.88888888888889,186.3064977694313,34710.11111111111,1,2,0,2,7,0,0,0,1.0,105.625,105.25,106.0,0,0,0,0,0,0,0,52,0,53,32120,506,1,32,0,0,0,0,1.426601037695015E15,6.988889193244158E14,1.711921244242072E15,5003368.0,No Label
