Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
151.101.53.128-192.168.100.163-443-35934-6,151.101.53.128,443,192.168.100.163,35934,6,31/03/2024 12:35:39 PM,0,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,Infinity,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,64,0,0.0,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,1,0,0,1,2,0,0,0,0.0,23.0,11.5,0.0,0,0,0,0,0,0,1,11,0,0,277,0,0,32,0,0,0,0,0,0,0,0,No Label
151.101.12.215-192.168.100.163-443-60278-6,151.101.12.215,443,192.168.100.163,60278,6,31/03/2024 12:35:40 PM,0,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,Infinity,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,64,0,0.0,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,1,0,0,1,2,0,0,0,0.0,23.0,11.5,0.0,0,0,0,0,0,0,1,11,0,0,319,0,0,32,0,0,0,0,0,0,0,0,No Label
151.101.12.215-192.168.100.163-443-60262-6,151.101.12.215,443,192.168.100.163,60262,6,31/03/2024 12:35:40 PM,0,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,Infinity,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,64,0,0.0,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,1,0,0,1,2,0,0,0,0.0,23.0,11.5,0.0,0,0,0,0,0,0,1,11,0,0,313,0,0,32,0,0,0,0,0,0,0,0,No Label
192.168.100.163-151.101.12.215-60278-443-6,192.168.100.163,60278,151.101.12.215,443,6,31/03/2024 12:35:40 PM,2163,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,924.6417013407305,2163.0,0.0,2163.0,2163.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,462.32085067036525,462.32085067036525,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,3800,319,0,32,0,0,0,0,0,0,0,0,No Label
192.168.100.163-192.168.100.240-43748-80-6,192.168.100.163,43748,192.168.100.240,80,6,31/03/2024 12:35:41 PM,1656231,1369,1367,16392.0,524.0,12.0,0.0,11.973703433162894,0.5613354244722536,524.0,0.0,0.3833211411850768,14.172518406443515,10213.551129039368,1651.943478898777,605.5689213893971,386.4717491093795,4086.0,8.0,1656147.0,1210.633771929824,210.30722557555669,4224.0,60.0,1656004.0,1212.3016105417287,235.98043275257564,4278.0,74.0,0,0,0,0,43816,43752,826.5755199606818,825.367958938095,0.0,524.0,6.180489587139222,11.577523441100116,134.03904902922267,1,2,0,1367,2735,0,0,0,0.0,6.182748538011696,11.973703433162893,0.3833211411850768,0,0,0,0,1367,10217,0,5,0,0,32120,509,1366,32,0,0,0,0,1.7119065422646628E15,479434.4072297347,1.711906543079553E15,1.711906541423548E15,No Label
192.168.100.163-192.168.100.240-43738-80-6,192.168.100.163,43738,192.168.100.240,80,6,31/03/2024 12:35:41 PM,1670098,1369,1368,16392.0,524.0,12.0,0.0,11.973703433162894,0.5613354244722536,524.0,0.0,0.3830409356725146,14.167337445419928,10128.746935808556,1638.8259850619543,610.4159356725144,413.80610172246674,5741.0,8.0,1669941.0,1220.7171052631586,261.4031457788336,5937.0,318.0,1669723.0,1221.4506217995622,283.7919948696618,5958.0,165.0,0,0,0,0,43816,43784,819.7123761599619,819.1136089019925,0.0,524.0,6.1782322863403865,11.576010853152003,134.00402727229294,1,2,0,1367,2736,0,0,0,0.0,6.180489587139204,11.973703433162893,0.3830409356725146,0,0,0,0,1367,10134,0,5,0,0,32120,509,1366,32,0,0,0,0,1.7119065422719492E15,485049.2416820741,1.711906543093134E15,1.711906541423365E15,No Label
192.168.100.163-192.168.100.240-43752-80-6,192.168.100.163,43752,192.168.100.240,80,6,31/03/2024 12:35:43 PM,139637,116,57,1380.0,0.0,12.0,0.0,11.89655172413793,1.1141720290623112,0.0,0.0,0.0,0.0,9882.767461346204,1238.9266455165894,811.843023255814,537.1627475164873,2911.0,53.0,139637.0,1214.2347826086957,246.62398861832907,2911.0,1056.0,135362.0,2417.178571428572,336.15630061261453,4160.0,2117.0,1,0,0,0,3712,1824,830.7253808088113,408.20126470777797,0.0,12.0,7.999999999999996,5.6731799811275065,32.1849710982659,0,0,1,115,173,0,0,0,0.0,8.046242774566474,11.89655172413793,0.0,0,0,0,0,115,10019,0,7,0,0,249,509,114,32,0,0,0,0,1.7119065436228292E15,39667.285535163675,1.711906543691266E15,1.711906543552845E15,No Label
192.168.100.240-192.168.100.163-80-43784-6,192.168.100.240,80,192.168.100.163,43784,6,31/03/2024 12:35:43 PM,12,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166666.66666666666,12.0,0.0,12.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,83333.33333333333,83333.33333333333,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,509,251,0,32,0,0,0,0,0,0,0,0,No Label
192.168.100.240-192.168.100.163-80-43774-6,192.168.100.240,80,192.168.100.163,43774,6,31/03/2024 12:35:43 PM,16,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125000.0,16.0,0.0,16.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,62500.0,62500.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,509,251,0,32,0,0,0,0,0,0,0,0,No Label
192.168.100.240-192.168.100.163-80-43762-6,192.168.100.240,80,192.168.100.163,43762,6,31/03/2024 12:35:43 PM,10,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199999.99999999997,10.0,0.0,10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,99999.99999999999,99999.99999999999,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,509,251,0,32,0,0,0,0,0,0,0,0,No Label
