Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.100.163-192.168.100.240-42320-80-6,192.168.100.163,42320,192.168.100.240,80,6,01/04/2024 05:21:10 PM,20420434,7,7,208.0,492.0,168.0,0.0,29.71428571428571,61.4076930189106,492.0,0.0,70.28571428571429,185.95852072053978,34.279388968912215,0.6855877793782443,1570802.6153846155,4302383.847328431,1.5004727E7,6.0,2.0420367E7,3403394.5,6077944.117505911,1.5004776E7,53.0,2.0420391E7,3403398.5,6077937.932812798,1.5004821E7,48.0,0,0,0,0,232,232,0.34279388968912217,0.34279388968912217,0.0,492.0,46.666666666666664,130.4397324802677,17014.52380952381,1,2,0,5,13,0,0,0,1.0,50.0,29.714285714285715,70.28571428571429,0,0,0,0,0,0,0,14,0,35,32120,508,4,32,0,0,0,0,1.7120100755235885E15,7979016.7739352705,1.712010091350209E15,1.712010070929997E15,No Label
192.168.100.163-192.168.100.240-42232-80-6,192.168.100.163,42232,192.168.100.240,80,6,01/04/2024 05:21:10 PM,20422771,7,7,211.0,492.0,168.0,0.0,30.14285714285714,61.30097490097138,492.0,0.0,70.28571428571429,185.95852072053978,34.42236119672497,0.6855093268195583,1570982.3846153845,4302366.957142749,1.5004767E7,4.0,2.0422617E7,3403769.5,6077808.352168494,1.5004821E7,44.0,2.0422707E7,3403784.5,6077845.709437341,1.5005013E7,54.0,0,0,0,0,232,232,0.34275466340977917,0.34275466340977917,0.0,492.0,46.86666666666667,130.3905488833268,17001.695238095235,1,2,0,5,13,0,0,0,1.0,50.214285714285715,30.142857142857142,70.28571428571429,0,0,0,0,0,0,0,15,0,35,32120,508,4,32,0,0,0,0,1.712010075522421E15,7979702.48775751,1.712010091350328E15,1.712010070927991E15,No Label
192.168.100.163-192.168.100.240-42336-80-6,192.168.100.163,42336,192.168.100.240,80,6,01/04/2024 05:21:10 PM,20420595,7,7,209.0,492.0,168.0,0.0,29.85714285714286,61.37977020546909,492.0,0.0,70.28571428571429,185.95852072053978,34.32808887302256,0.6855823740689241,1570815.0,4302439.16253147,1.5004732E7,5.0,2.042052E7,3403420.0,6078015.298934086,1.500478E7,29.0,2.0420552E7,3403425.3333333335,6077998.991090791,1.5004779E7,40.0,0,0,0,0,232,232,0.34279118703446204,0.34279118703446204,0.0,492.0,46.733333333333334,130.4248369569159,17010.638095238093,1,2,0,5,13,0,0,0,1.0,50.07142857142857,29.857142857142858,70.28571428571429,0,0,0,0,0,0,0,14,0,35,32120,508,4,32,0,0,0,0,1.7120100755238562E15,7979017.1828833185,1.712010091350836E15,1.712010070930396E15,No Label
192.168.100.163-192.168.100.240-42244-80-6,192.168.100.163,42244,192.168.100.240,80,6,01/04/2024 05:21:10 PM,20422711,7,7,210.0,492.0,168.0,0.0,30.0,61.326992425847855,492.0,0.0,70.28571428571429,185.95852072053978,34.37349723060763,0.6855113407813488,1570977.769230769,4302410.553014616,1.5004742E7,4.0,2.0422445E7,3403740.8333333335,6077884.998285224,1.5004794E7,39.0,2.0422668E7,3403778.0,6077888.94476653,1.5004923E7,53.0,0,0,0,0,232,232,0.3427556703906744,0.3427556703906744,0.0,492.0,46.800000000000004,130.40497361242456,17005.457142857143,1,2,0,5,13,0,0,0,1.0,50.142857142857146,30.0,70.28571428571429,0,0,0,0,0,0,0,15,0,35,32120,508,4,32,0,0,0,0,1.7120100755228175E15,7979600.414052478,1.712010091350865E15,1.712010070928622E15,No Label
192.168.100.163-192.168.100.240-42588-80-6,192.168.100.163,42588,192.168.100.240,80,6,01/04/2024 05:21:10 PM,20416148,7,7,207.0,492.0,168.0,0.0,29.57142857142857,61.46233844899694,492.0,0.0,70.28571428571429,185.95852072053978,34.23760446877638,0.6857317060985255,1570472.923076923,4302512.641591393,1.500464E7,5.0,2.0416092E7,3402682.0,6078408.892877149,1.5004686E7,31.0,2.0416091E7,3402681.833333333,6078393.510433704,1.5004687E7,82.0,0,0,0,0,232,232,0.34286585304926276,0.34286585304926276,0.0,492.0,46.599999999999994,130.46006504455136,17019.82857142857,1,2,0,5,13,0,0,0,1.0,49.92857142857143,29.571428571428573,70.28571428571429,0,0,0,0,0,0,0,14,0,35,32120,508,4,32,0,0,0,0,1.712010075526873E15,7977513.660100422,1.712010091351281E15,1.712010070935286E15,No Label
192.168.100.163-192.168.100.240-42372-80-6,192.168.100.163,42372,192.168.100.240,80,6,01/04/2024 05:21:10 PM,20420795,7,7,209.0,492.0,168.0,0.0,29.857142857142854,61.379770205469086,492.0,0.0,70.28571428571429,185.95852072053978,34.32775266584871,0.6855756595176633,1570830.3846153845,4302477.227462851,1.5004722E7,5.0,2.0420428E7,3403404.6666666665,6078095.700350518,1.5004764E7,35.0,2.0420755E7,3403459.166666667,6078046.813707456,1.500476E7,51.0,0,0,0,0,232,232,0.34278782975883165,0.34278782975883165,0.0,492.0,46.733333333333334,130.4248369569159,17010.638095238093,1,2,0,5,13,0,0,0,1.0,50.07142857142857,29.857142857142858,70.28571428571429,0,0,0,0,0,0,0,14,0,35,32120,508,4,32,0,0,0,0,1.7120100755242935E15,7978918.655302152,1.712010091351389E15,1.71201007093103E15,No Label
192.168.100.163-192.168.100.240-42532-80-6,192.168.100.163,42532,192.168.100.240,80,6,01/04/2024 05:21:10 PM,20417591,7,7,208.0,492.0,168.0,0.0,29.71428571428571,61.467374234125984,492.0,0.0,70.28571428571429,185.95852072053978,34.28416212274993,0.6856832424549987,1570583.923076923,4302521.257997367,1.5004609E7,4.0,2.0417473E7,3402912.1666666665,6078354.8836938245,1.5004676E7,34.0,2.0417534E7,3402922.3333333335,6078317.711786334,1.5004649E7,44.0,0,0,0,0,232,232,0.34284162122749934,0.34284162122749934,0.0,492.0,46.666666666666664,130.45177908586246,17017.666666666664,1,2,0,5,13,0,0,0,1.0,50.0,29.714285714285715,70.28571428571429,0,0,0,0,0,0,0,14,0,35,32120,508,4,32,0,0,0,0,1.7120100755263205E15,7977897.144681042,1.712010091351688E15,1.712010070934318E15,No Label
192.168.100.163-192.168.100.240-42334-80-6,192.168.100.163,42334,192.168.100.240,80,6,01/04/2024 05:21:10 PM,20421922,7,7,208.0,492.0,168.0,0.0,29.71428571428571,61.4076930189106,492.0,0.0,70.28571428571429,185.95852072053978,34.276891273994686,0.6855378254798936,1570917.076923077,4302509.898296662,1.5004721E7,6.0,2.0421801E7,3403633.5,6078066.050737545,1.5004775E7,48.0,2.042186E7,3403643.333333333,6078050.653421495,1.5004787E7,44.0,0,0,0,0,232,232,0.3427689127399468,0.3427689127399468,0.0,492.0,46.666666666666664,130.4397324802677,17014.52380952381,1,2,0,5,13,0,0,0,1.0,50.0,29.714285714285715,70.28571428571429,0,0,0,0,0,0,0,14,0,35,32120,508,4,32,0,0,0,0,1.7120100755238512E15,7979279.737686276,1.712010091351895E15,1.712010070930191E15,No Label
192.168.100.163-192.168.100.240-42494-80-6,192.168.100.163,42494,192.168.100.240,80,6,01/04/2024 05:21:10 PM,20418654,7,7,208.0,492.0,168.0,0.0,29.71428571428572,61.43211506943875,492.0,0.0,70.28571428571429,185.95852072053978,34.282377281088166,0.6856475456217633,1570665.6923076925,4302547.367070435,1.5004644E7,4.0,2.0418483E7,3403080.5,6078327.273224691,1.5004692E7,30.0,2.0418611E7,3403101.8333333335,6078299.85202209,1.5004691E7,50.0,0,0,0,0,232,232,0.34282377281088167,0.34282377281088167,0.0,492.0,46.66666666666666,130.44466077156827,17015.809523809523,1,2,0,5,13,0,0,0,1.0,50.0,29.714285714285715,70.28571428571429,0,0,0,0,0,0,0,14,0,35,32120,508,4,32,0,0,0,0,1.7120100755259388E15,7978194.718032078,1.712010091352052E15,1.712010070933651E15,No Label
192.168.100.163-192.168.100.240-42240-80-6,192.168.100.163,42240,192.168.100.240,80,6,01/04/2024 05:21:10 PM,20423951,7,7,209.0,492.0,168.0,0.0,29.857142857142854,61.379770205469086,492.0,0.0,70.28571428571429,185.95852072053978,34.322448188403904,0.685469721309065,1571073.1538461538,4302504.791503565,1.5004747E7,3.0,2.0423892E7,3403982.0,6077956.529459683,1.5004804E7,36.0,2.0423898E7,3403983.0,6077987.235739608,1.5004952E7,52.0,0,0,0,0,232,232,0.3427348606545325,0.3427348606545325,0.0,492.0,46.733333333333334,130.4248369569159,17010.638095238093,1,2,0,5,13,0,0,0,1.0,50.07142857142857,29.857142857142858,70.28571428571429,0,0,0,0,0,0,0,14,0,35,32120,508,4,32,0,0,0,0,1.7120100755228285E15,7979904.400699421,1.71201009135209E15,1.71201007092844E15,No Label
