,Accuracy,Binary Precision,Binary Recall,Binary F1 Score,Average Loss,All-Class Precision,All-Class Recall,All-Class F1 Score
0,0.05461758694337485,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05461759]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10357799]",5.9422797403429495e-05,,0.1111111111111111,
0,0.05461758694337485,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05461759]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10357799]",6.310828953725083e-05,,0.1111111111111111,
0,0.05461758694337485,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05461759]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10357799]",5.974734420315741e-05,,0.1111111111111111,
0,0.05461758694337485,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05461759]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10357799]",5.6554750348073105e-05,,0.1111111111111111,
0,0.05461758694337485,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05461759]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10357799]",5.622128304640902e-05,,0.1111111111111111,
0,0.05461758694337485,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05461759]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10357799]",5.750681868538955e-05,,0.1111111111111111,
0,0.05461758694337485,"[       nan        nan        nan        nan        nan        nan
        nan 0.         0.05531918]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10483877]",5.576636918781892e-05,,0.1111111111111111,
0,0.05461758694337485,"[       nan        nan        nan        nan        nan        nan
        nan 0.         0.06088645]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[      nan       nan       nan       nan       nan       nan       nan
       nan 0.1147841]",5.4895022750391776e-05,,0.1111111111111111,
0,0.18622111137478853,"[1.                nan        nan        nan        nan        nan
        nan 0.55149875 0.07172351]","[2.61048732e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00]","[5.21961207e-04            nan            nan            nan
            nan            nan            nan 7.10923874e-01
 1.33847041e-01]",5.519546964019189e-05,,0.22225122763691157,
0,0.1866421446670392,"[1.                nan        nan        nan        nan        nan
        nan 0.56415564 0.07126252]","[9.44747793e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00]","[0.00188771        nan        nan        nan        nan        nan
        nan 0.72135486 0.13304399]",5.7675542665623794e-05,,0.2223271941991933,
0,0.056653857047714556,"[1.                nan        nan        nan        nan        nan
        nan 0.         0.05891825]","[0.00330662 0.         0.         0.         0.         0.
 0.         0.         1.        ]","[0.00659144        nan        nan        nan        nan        nan
        nan        nan 0.11128008]",6.0917457326958184e-05,,0.11147851303050989,
0,0.200771639197434,"[0.99998691        nan        nan        nan        nan        nan
        nan 0.         0.06769842]","[0.23733681 0.         0.         0.         0.         0.
 0.         0.         0.99996496]","[0.38362426        nan        nan        nan        nan        nan
        nan        nan 0.1268116 ]",6.0468997795245805e-05,,0.13747797399174397,
0,0.20519248876606624,"[0.99998729        nan        nan        nan        nan        nan
 0.         0.         0.06468488]","[0.24451565 0.         0.         0.         0.         0.
 0.         0.         0.99996496]","[0.39294811        nan        nan        nan        nan        nan
        nan        nan 0.12150965]",5.924962615578255e-05,,0.13827562289570186,
