,Accuracy,Binary Precision,Binary Recall,Binary F1 Score,Average Loss,All-Class Precision,All-Class Recall,All-Class F1 Score
0,0.054745810718742106,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05474581]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10380854]",0.0007877736287982082,,0.1111111111111111,
0,0.054745810718742106,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05474581]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10380854]",0.000786977999120733,,0.1111111111111111,
0,0.054745810718742106,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05474581]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10380854]",0.0007841432800215327,,0.1111111111111111,
0,0.054745810718742106,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05474581]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10380854]",0.0007793846391914003,,0.1111111111111111,
0,0.054745810718742106,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05474581]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10380854]",0.0007762063192588433,,0.1111111111111111,
0,0.054745810718742106,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05474581]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10380854]",0.0007763766069661645,,0.1111111111111111,
0,0.054745810718742106,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05474581]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10380854]",0.0007761034828343185,,0.1111111111111111,
0,0.054745810718742106,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05474581]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10380854]",0.0007760091995569397,,0.1111111111111111,
0,0.054745810718742106,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05474581]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10380854]",0.000770468732514509,,0.1111111111111111,
0,0.054745810718742106,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05474581]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10380854]",0.0007513872484529223,,0.1111111111111111,
0,0.05493144812487082,"[1.                nan        nan        nan        nan        nan
        nan        nan 0.05475598]","[3.01291828e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00]","[0.0006024         nan        nan        nan        nan        nan
        nan        nan 0.10382681]",0.0007175071209999469,,0.11114458798083743,
0,0.06788587701234776,"[1.                nan        nan        nan        nan 0.29094142
        nan 0.         0.05742067]","[0.00201275 0.         0.         0.         0.         0.44481007
 0.         0.         1.        ]","[0.00401742        nan        nan        nan        nan 0.35178637
        nan        nan 0.10860515]",0.0006788576616767511,,0.16075809176702582,
0,0.22655418698471266,"[1.                nan        nan        nan        nan 0.40541168
 0.         0.         0.07049129]","[0.23542695 0.         0.         0.         0.         1.
 0.         0.         1.        ]","[0.38112646        nan        nan        nan        nan 0.57692943
        nan        nan 0.13169895]",0.000645615234341489,,0.24838077212846976,
0,0.22720678858770124,"[1.                nan        nan        nan        nan 0.39441905
 0.         0.         0.0715796 ]","[0.23648613 0.         0.         0.         0.         1.
 0.         0.         1.        ]","[0.38251319        nan        nan        nan        nan 0.56571093
        nan        nan 0.13359642]",0.0006233308892587354,,0.2484984588560643,
0,0.2332313922422702,"[1.                nan        nan        nan        nan 0.39328719
 0.         0.         0.07877576]","[0.24626414 0.         0.         0.         0.         1.
 0.         0.         1.        ]","[0.39520376        nan        nan        nan        nan 0.56454577
        nan        nan 0.14604659]",0.0006099974147081281,,0.24958490407151215,
0,0.2851122627860156,"[1.                nan        nan        nan        nan 0.30591299
 0.02884397 0.26820519 0.08886832]","[0.27967957 0.         0.         0.         0.         1.
 0.0027559  0.23655318 1.        ]","[0.43710876        nan        nan        nan        nan 0.4685044
 0.0050311  0.25138678 0.1632306 ]",0.000589985394146823,,0.2798876281932856,
0,0.269847892154236,"[1.                nan        nan        nan        nan        nan
 0.01295571 0.26809439 0.08035213]","[0.29831929 0.         0.         0.         0.         0.
 0.0027993  0.23655318 1.        ]","[0.45954688        nan        nan        nan        nan        nan
 0.00460385 0.2513381  0.14875174]",0.0005433603148880844,,0.17085241863133568,
0,0.3018483361529805,"[0.99975534 0.98583911        nan        nan        nan        nan
 0.00539817 0.26650897 0.0879815 ]","[0.33001084 0.33892687 0.         0.         0.         0.
 0.0027993  0.23655318 0.9990911 ]","[0.49622273 0.50443228        nan        nan        nan        nan
 0.00368677 0.25063919 0.16172156]",0.0005032253031998666,,0.21193125431751708,
0,0.42341595792729136,"[0.99975818 0.57597284        nan        nan        nan        nan
 0.00231839 0.60490201 0.13145911]","[0.33388104 0.85244458 0.         0.         0.         0.
 0.0027993  1.         0.9990911 ]","[0.50058561 0.68745301        nan        nan        nan        nan
 0.00253625 0.753818   0.23234639]",0.0004806523292304449,,0.354246224642039,
0,0.41972617525702166,"[0.99974694 0.57531063        nan        nan        nan        nan
 0.00133651 0.60517422 0.16204478]","[0.3190432 1.        0.        0.        0.        0.        0.0027993
 1.        0.9990911]","[0.48371981 0.73040912        nan        nan        nan        nan
 0.00180922 0.75402933 0.27886056]",0.00046504356798036825,,0.36899262147122636,
0,0.43997596282658785,"[0.99977059 0.5798029         nan        nan        nan        nan
 0.00142559 0.60566589 0.16598812]","[0.35194302 0.99943029 0.         0.         0.         0.
 0.0027993  1.         0.9990911 ]","[0.52061661 0.73386575        nan        nan        nan        nan
 0.00188911 0.75441086 0.28467979]",0.00045065572343629487,,0.372584856259008,
0,0.4380679164976154,"[0.99977269 0.58436367        nan        nan        nan        nan
 0.0013888  0.60617443 0.1655938 ]","[0.35520132 0.89346385 0.         0.         0.         0.
 0.0027993  1.         0.9990911 ]","[0.52417327 0.7065883         nan        nan        nan        nan
 0.00185653 0.75480523 0.28409966]",0.00043321810180251035,,0.3611728408698287,
0,0.4335819981474535,"[0.99976834 0.58275815 0.                nan        nan        nan
 0.0012753  0.63898076 0.16566099]","[0.34852942 0.88331262 0.         0.         0.         0.
 0.0027993  1.         0.9990911 ]","[0.516872   0.70222753        nan        nan        nan        nan
 0.00175229 0.77972942 0.28419854]",0.00041725454056348534,,0.35930360328384015,
0,0.4245948511455933,"[0.99976495        nan 0.                nan        nan 0.29267425
 0.00123907 0.64605313 0.18574242]","[0.34349753 0.         0.         0.         0.         1.
 0.0027993  1.         0.9990911 ]","[0.51131748        nan        nan        nan        nan 0.4528198
 0.00171779 0.78497239 0.31324839]",0.00043567164863150224,,0.37170976987695087,
0,0.4659498893830714,"[0.99980336        nan 0.                nan        nan 0.28568217
 0.00161339 0.74322713 0.17884632]","[0.41061728 0.         0.         0.         0.         1.
 0.0027993  1.         0.9990911 ]","[0.58214765        nan        nan        nan        nan 0.44440559
 0.00204699 0.85270258 0.30338415]",0.00043039940457555257,,0.37916751913381613,
0,0.49984115562155995,"[0.99982658        nan 0.                nan        nan 0.28541969
 0.00199188 0.84636268 0.17206709]","[0.4656108 0.        0.        0.        0.        1.        0.0028861
 1.        0.9990911]","[0.63534623        nan        nan        nan        nan 0.44408793
 0.00235703 0.9167892  0.29357384]",0.00041030969745732923,,0.3852875550986249,
0,0.5107267800139323,"[0.99983283        nan 0.                nan        nan 0.28360722
 0.00329643 0.89922775 0.17544721]","[0.48299875 0.         0.         0.         0.         1.
 0.00483909 1.         0.9990911 ]","[0.65134573        nan        nan        nan        nan 0.44189097
 0.0039215  0.94694041 0.29847941]",0.0004243690385110156,,0.3874365498777386,
0,0.5638592677082775,"[0.99985815        nan 0.                nan        nan 0.24062312
 0.00415975 0.89978222 0.20395929]","[0.56923345 0.         0.         0.         0.         1.
 0.00483909 1.         0.9990911 ]","[0.72545503        nan        nan        nan        nan 0.38790687
 0.00447378 0.94724775 0.33876206]",0.0004123172471088579,,0.39701818218919915,
0,0.5647797995881529,"[0.99985849        nan 0.                nan        nan 0.23925992
 0.00472958 0.90120099 0.20539282]","[0.57062808 0.         0.         0.         0.         1.
 0.00553349 1.         0.9990911 ]","[0.72658671        nan        nan        nan        nan 0.38613355
 0.00510005 0.94803337 0.34073703]",0.00040851713021923796,,0.397250297603256,
0,0.5739870321745987,"[0.99986169        nan 0.                nan        nan 0.23796878
 0.0154892  0.90213745 0.21083693]","[0.5838228  0.         0.         0.         0.         1.
 0.01775058 1.         0.9990911 ]","[0.73719489        nan        nan        nan        nan 0.38445037
 0.01654297 0.94855128 0.34819476]",0.00039177454768697656,,0.4000738314862036,
0,0.575378355826718,"[0.99986264        nan 0.         0.                nan 0.23570176
 0.00494269 0.90398049 0.21139053]","[0.58783278 0.         0.         0.         0.         1.
 0.00551179 1.         0.9990911 ]","[0.74038386        nan        nan        nan        nan 0.38148648
 0.00521175 0.94956907 0.34894937]",0.0003827403915128673,,0.3991595192928801,
0,0.5804326691214183,"[0.99986461        nan 0.         0.                nan 0.23521395
 0.00275095 0.90355176 0.21423967]","[0.59639941 0.         0.         0.         0.         1.
 0.0029729  1.         0.9990911 ]","[0.7471429         nan        nan        nan        nan 0.3808473
 0.00285762 0.94933248 0.35282208]",0.00037389716657990746,,0.3998292670949957,
0,0.5756864756451379,"[0.99986281 0.         0.         0.                nan 0.23517042
 0.0032222  0.90174604 0.21491146]","[0.58859377 0.         0.         0.         0.         1.
 0.003689   1.         0.9990911 ]","[0.74098723        nan        nan        nan        nan 0.38079024
 0.00343983 0.94833487 0.35373257]",0.00038296203019407726,,0.3990415411625698,
0,0.576794558718834,"[0.99986323 0.         0.         0.                nan 0.23488591
 0.00314656 0.89910987 0.21640367]","[0.59040463 0.         0.         0.         0.         1.
 0.0036022  1.         0.9990911 ]","[0.74242069        nan        nan        nan        nan 0.38041718
 0.003359   0.94687504 0.3557514 ]",0.00039031374996129363,,0.39923310306946047,
0,0.5653252290803867,"[0.99985878 0.         0.         0.                nan 0.2353367
 0.00301119 0.90197136 0.21713365]","[0.57177734 0.         0.         0.         0.         1.
 0.003689   1.         0.9990911 ]","[0.72751776        nan        nan        nan        nan 0.38100819
 0.00331581 0.94845945 0.35673719]",0.0004171015364850113,,0.39717304866052583,
0,0.5593369873919667,"[0.99985624 0.         0.         0.                nan 0.23589666
 0.0051283  0.90153268 0.21664809]","[0.56167941 0.         0.         0.         0.         1.
 0.00633639 1.         0.9990911 ]","[0.71929022        nan        nan        nan        nan 0.38174172
 0.00566869 0.94821687 0.35608161]",0.0004247202772995855,,0.39634521107312665,
0,0.5646936791420107,"[0.99985843 0.         0.         0.                nan 0.13420055
 0.00531808 0.9281036  0.33506454]","[0.57037338 0.         0.         0.         0.         1.
 0.00633639 1.         0.9990911 ]","[0.72638018        nan        nan        nan        nan 0.23664342
 0.00578275 0.96271134 0.5018305 ]",0.0004118931219863968,,0.3973112085820334,
